comparison,left_condition,right_condition,metric,metric_label,paired_seed_count,seeds,left_values_by_seed,right_values_by_seed,paired_differences_right_minus_left,left_mean,right_mean,mean_paired_difference_right_minus_left,median_paired_difference_right_minus_left,wilcoxon_statistic,p_value,rank_biserial_effect_size,note
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,coverage_percent,Coverage (%),5,"[1001, 1002, 1003, 1004, 1005]","[42.24, 43.519999999999996, 38.4, 49.28, 24.16]","[30.72, 33.28, 33.92, 28.32, 30.72]","[-11.520000000000003, -10.239999999999995, -4.479999999999997, -20.96, 6.559999999999999]",39.519999999999996,31.392000000000003,-8.128,-10.239999999999995,2.0,0.1875,-0.7333333333333333,Authoritative paired shared-seed comparison; low n limits statistical power.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,qd_score,Shifted QD-score,5,"[1001, 1002, 1003, 1004, 1005]","[5406.37299999999, 5780.06699999999, 5033.66499999999, 6470.367999999986, 3185.337999999996]","[4450.310999999991, 4292.190999999992, 4624.10399999999, 3536.1549999999934, 3793.243999999994]","[-956.061999999999, -1487.8759999999984, -409.5609999999997, -2934.2129999999925, 607.9059999999977]",5175.16219999999,4139.200999999992,-1035.9611999999984,-956.061999999999,2.0,0.1875,-0.7333333333333333,Authoritative paired shared-seed comparison; low n limits statistical power.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,raw_qd_score,Raw QD-score,5,"[1001, 1002, 1003, 1004, 1005]","[4086.3729999999905, 4420.06699999999, 3833.66499999999, 4930.367999999986, 2430.337999999996]","[3490.3109999999906, 3252.1909999999916, 3564.1039999999903, 2651.1549999999925, 2833.243999999994]","[-596.0619999999999, -1167.8759999999984, -269.5609999999997, -2279.2129999999934, 402.9059999999977]",3940.16219999999,3158.200999999992,-781.9611999999987,-596.0619999999999,2.0,0.1875,-0.7333333333333333,Authoritative paired shared-seed comparison; low n limits statistical power.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,max_fitness,Max fitness,5,"[1001, 1002, 1003, 1004, 1005]","[28.904999999999877, 32.59999999999995, 28.979999999999976, 32.54499999999994, 29.41999999999998]","[30.63499999999995, 31.094999999999935, 31.539999999999957, 26.91499999999999, 29.07999999999992]","[1.7300000000000715, -1.5050000000000168, 2.559999999999981, -5.629999999999949, -0.34000000000006025]",30.489999999999945,29.852999999999952,-0.6369999999999948,-0.34000000000006025,7.0,1.0,-0.06666666666666667,Authoritative paired shared-seed comparison; low n limits statistical power.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,occupancy_entropy,Occupancy entropy (coverage-derived),5,"[1001, 1002, 1003, 1004, 1005]","[0.8661329927777857, 0.8707701650040401, 0.8513281066948895, 0.8900777934184829, 0.7793528097686653]","[0.8166663857315859, 0.8290997183651636, 0.8320585456090624, 0.8040306638398781, 0.8166663857315859]","[-0.04946660704619976, -0.041670446638876535, -0.019269561085827003, -0.08604712957860483, 0.03731357596292062]",0.8515323735327727,0.8197043398554552,-0.0318280336773175,-0.041670446638876535,2.0,0.1875,-0.7333333333333333,Authoritative paired shared-seed comparison; low n limits statistical power.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,mean_pairwise_descriptor_euclidean,Mean pairwise elite descriptor distance (Euclidean),5,"[1001, 1002, 1003, 1004, 1005]","[16.4447542015096, 22.140593953745817, 16.46486677896307, 18.27918737708726, 28.21300088418465]","[20.990144539071395, 22.28665512266376, 23.526442629068445, 24.174058480370167, 22.899543538523286]","[4.545390337561795, 0.1460611689179423, 7.061575850105374, 5.894871103282906, -5.313457345661362]",20.308480639098082,22.77536886193941,2.466888222841331,4.545390337561795,3.0,0.3125,0.6,Authoritative paired shared-seed comparison; low n limits statistical power.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,mean_pairwise_descriptor_knn_geodesic,Mean pairwise elite descriptor distance (k-NN geodesic),5,"[1001, 1002, 1003, 1004, 1005]","[16.59062432086169, 22.339948102990583, 16.6249919488709, 18.430168781147326, 28.43877503059519]","[21.17310239911723, 22.483133390978786, 23.787752349544267, 24.36650865237578, 23.103423470238518]","[4.582478078255541, 0.14318528798820296, 7.162760400673367, 5.936339871228455, -5.335351560356671]",20.484901636893134,22.982784052450917,2.497882415557779,4.582478078255541,3.0,0.3125,0.6,Authoritative paired shared-seed comparison; low n limits statistical power.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,elapsed_seconds,Wall-clock runtime (s),5,"[1001, 1002, 1003, 1004, 1005]","[1043.7825773000004, 1062.9339889000003, 1062.8887165999995, 1059.8001356000004, 991.0042558999994]","[1026.8396910000001, 1015.8343672999999, 988.9688094000012, 951.7533726000001, 939.0488602000005]","[-16.942886300000282, -47.09962160000032, -73.9199071999983, -108.04676300000028, -51.95539569999892]",1044.08193486,984.4890201000004,-59.59291475999962,-51.95539569999892,0.0,0.0625,-1.0,Authoritative paired shared-seed comparison; low n limits statistical power.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,evaluations_per_second,Throughput (eval/s),5,"[1001, 1002, 1003, 1004, 1005]","[19.161078595251997, 18.815843889513236, 18.816645324805595, 18.871482771303008, 20.18154804172523]","[19.477236977977313, 19.68824903331266, 20.223084701866206, 21.013847258942718, 21.298146292132618]","[0.31615838272531605, 0.8724051437994227, 1.406439377060611, 2.1423644876397105, 1.1165982504073888]",19.169319724519813,20.340112852846303,1.1707931283264899,1.1165982504073888,0.0,0.0625,1.0,Authoritative paired shared-seed comparison; low n limits statistical power.
baseline_a_handcrafted_map_elites vs baseline_b_learned_bd_euclidean,baseline_a_handcrafted_map_elites,baseline_b_learned_bd_euclidean,coverage_percent,Coverage (%),5,"[1001, 1002, 1003, 1004, 1005]","[98.24000000000001, 98.24000000000001, 98.24000000000001, 98.24000000000001, 98.24000000000001]","[42.24, 43.519999999999996, 38.4, 49.28, 24.16]","[-56.00000000000001, -54.72000000000001, -59.84000000000001, -48.96000000000001, -74.08000000000001]",98.24000000000001,39.519999999999996,-58.720000000000006,-56.00000000000001,0.0,0.0625,-1.0,Authoritative paired shared-seed comparison; low n limits statistical power.
